S2AC_1h,
X,Y
0.0164 , 170.5615
0.0351 , 176.7631
0.0616 , 182.9789
0.0828 , 186.2718
0.1040 , 188.1222
0.1252 , 189.5881
0.1465 , 191.1180
0.1677 , 192.1350
0.1890 , 193.0879
0.2083 , 194.4661
0.2353 , 195.5389
0.2566 , 196.0791
0.2836 , 198.1283
0.3049 , 198.6324
0.3269 , 200.1087
0.3474 , 201.0512
0.3686 , 201.8759
0.3921 , 201.5730
0.4082 , 202.5605
0.4302 , 204.5239
0.4536 , 204.5656
0.4737 , 205.5942
0.5000 , 205.9308
0.5218 , 207.2186
0.5502 , 208.7106
0.5715 , 208.7927
0.5955 , 209.6670
0.6111 , 209.8352
0.6377 , 210.9223
0.6565 , 211.7656
0.6860 , 213.9976
0.7057 , 214.8051
0.7332 , 216.2154
0.7550 , 217.6544
0.7823 , 219.7450
0.8051 , 221.6202
0.8264 , 223.0219
0.8484 , 224.5879
0.8688 , 227.1075
0.8901 , 229.6631
0.9114 , 232.1622
0.9325 , 235.8964
0.9554 , 238.7996
0.9762 , 245.3341
0.9927 , 251.7109
0.9968 , 261.7396
