S1AC_3,
X,Y
0.0278 , 160.3367
0.0408 , 162.6541
0.0570 , 173.3084
0.0764 , 178.1598
0.0993 , 184.4028
0.1200 , 188.2605
0.1417 , 192.3758
0.1629 , 194.3549
0.1841 , 195.5284
0.2053 , 197.3142
0.2259 , 198.6008
0.2477 , 200.8535
0.2679 , 201.8026
0.2902 , 203.4905
0.3114 , 205.3085
0.3326 , 206.2886
0.3538 , 207.6876
0.3750 , 209.0222
0.3962 , 210.2279
0.4174 , 210.4023
0.4387 , 211.5112
0.4599 , 211.1700
0.4817 , 212.1927
0.5023 , 214.1937
0.5235 , 214.8716
0.5467 , 216.6414
0.5657 , 216.8675
0.5893 , 218.2475
0.6103 , 219.3883
0.6403 , 221.3111
0.6595 , 222.4748
0.6853 , 223.6646
0.7067 , 226.5562
0.7302 , 226.4078
0.7492 , 228.2586
0.7704 , 229.4481
0.7931 , 230.7376
0.8128 , 232.6168
0.8340 , 234.0159
0.8552 , 237.3164
0.8764 , 239.9401
0.8976 , 244.1172
0.9187 , 247.5321
0.9407 , 250.9836
0.9598 , 255.2264
0.9772 , 263.8065
0.9933 , 271.7941
1.0013 , 280.7652
