S2AC-700,
X,Y
0.0139 , 112.8547
0.0348 , 117.5084
0.0706 , 121.7046
0.0836 , 123.1039
0.1055 , 123.8106
0.1255 , 124.7487
0.1456 , 125.6868
0.1666 , 126.3931
0.1840 , 127.0979
0.2059 , 127.8046
0.2539 , 128.7557
0.3063 , 130.4054
0.3534 , 131.5883
0.4050 , 132.7732
0.4530 , 133.9565
0.5036 , 135.1410
0.5551 , 136.3259
0.6023 , 137.2766
0.6556 , 138.6945
0.7053 , 139.8786
0.7568 , 141.2957
0.8031 , 143.1748
0.8241 , 144.1133
0.8555 , 145.2889
0.8808 , 146.6939
0.9026 , 148.7938
0.9306 , 150.4322
0.9550 , 153.2299
0.9785 , 158.3492
0.9846 , 160.2096
0.9924 , 164.8572
0.9968 , 169.9675
