S2AC-6h,
X,Y
0.0299 , 193.9920
0.0574 , 206.6620
0.0824 , 213.3272
0.1039 , 217.7768
0.1272 , 220.9651
0.1436 , 222.8811
0.1661 , 225.7525
0.1851 , 227.9877
0.2093 , 229.5977
0.2525 , 233.1270
0.2880 , 236.0148
0.3070 , 236.3547
0.3347 , 238.9167
0.3546 , 240.2054
0.4030 , 243.4254
0.4575 , 245.7055
0.5042 , 248.6074
0.5543 , 251.5138
0.6019 , 254.4168
0.6555 , 257.9593
0.7048 , 262.1281
0.7532 , 266.6116
0.8024 , 271.4121
0.8257 , 274.6004
0.8525 , 279.0566
0.9532 , 307.6135
0.9764 , 319.3304
0.9891 , 332.2978
0.9950 , 338.9389
