S1AC_700,
X,Y
0.0131 , 74.8829
0.0340 , 75.9661
0.0591 , 77.4773
0.0808 , 78.1724
0.1027 , 79.3682
0.1245 , 80.0795
0.1464 , 80.4273
0.1683 , 81.6232
0.1902 , 81.7530
0.2101 , 82.8524
0.2317 , 83.3200
0.2548 , 83.3292
0.2787 , 83.7118
0.3036 , 83.3486
0.3266 , 84.1868
0.3489 , 84.1661
0.3695 , 84.4407
0.3913 , 84.4761
0.4124 , 85.0441
0.4338 , 85.2066
0.4558 , 85.0080
0.4787 , 85.5205
0.5025 , 85.2931
0.5260 , 85.7614
0.5463 , 85.8193
0.5722 , 86.0234
0.5941 , 86.6620
0.6170 , 85.7236
0.6361 , 85.6127
0.6577 , 85.7694
0.6836 , 86.9883
0.7055 , 85.9552
0.7313 , 86.7165
0.7517 , 86.6358
0.7741 , 86.5470
0.8050 , 86.7458
0.8268 , 87.0210
0.8487 , 88.6287
0.8706 , 89.1219
0.8925 , 88.9126
0.9144 , 89.3331
0.9362 , 91.0135
0.9581 , 93.1541
0.9813 , 95.6673
0.9975 , 102.5456
