S2AC_900,
X,Y
0.0073 , 88.2179
0.0184 , 94.0463
0.0308 , 101.1616
0.0404 , 107.0278
0.0572 , 113.1636
0.0791 , 119.8464
0.0993 , 124.0184
0.1212 , 128.6644
0.1410 , 132.0498
0.1637 , 136.3934
0.1863 , 139.1604
0.2080 , 140.4176
0.2297 , 142.7716
0.2514 , 143.7188
0.2732 , 145.3576
0.2949 , 146.6148
0.3166 , 147.3951
0.3383 , 148.4377
0.3601 , 149.4326
0.3818 , 150.6898
0.4035 , 152.1616
0.4253 , 152.6080
0.4470 , 153.5314
0.4687 , 153.9922
0.4907 , 154.6682
0.5122 , 155.1331
0.5331 , 156.2990
0.5556 , 157.0990
0.5779 , 157.9084
0.6011 , 158.6135
0.6232 , 159.5968
0.6449 , 160.6370
0.6656 , 161.5394
0.6878 , 162.6907
0.7077 , 162.8843
0.7306 , 165.0592
0.7531 , 166.0547
0.7749 , 167.5504
0.7972 , 169.3613
0.8183 , 170.8755
0.8402 , 173.1026
0.8617 , 175.3691
0.8834 , 177.7470
0.9051 , 181.3649
0.9276 , 185.9372
0.9486 , 192.1826
0.9643 , 197.9770
0.9800 , 204.1898
0.9908 , 210.3811
0.9931 , 223.6867
0.9924 , 215.9781
1.0015 , 228.4882
