S1AC_900_stC,
X,Y
0.0120 , 71.0100
0.0290 , 80.5666
0.0608 , 90.3311
0.0822 , 94.9182
0.1045 , 99.1081
0.1237 , 102.6996
0.1452 , 106.0934
0.1645 , 108.8893
0.1852 , 111.0895
0.2052 , 112.8914
0.2527 , 116.6985
0.3068 , 119.3164
0.3335 , 121.3211
0.3565 , 121.7326
0.4039 , 123.9487
0.4551 , 125.1725
0.5048 , 126.3955
0.5538 , 128.4136
0.6049 , 130.0352
0.6516 , 132.0519
0.7028 , 134.0713
0.7525 , 136.4876
0.8014 , 139.1023
0.8274 , 140.5100
0.8548 , 143.3108
0.8800 , 146.3091
0.9022 , 149.7034
0.9289 , 154.6915
0.9518 , 162.2629
0.9769 , 174.6088
0.9858 , 180.3818
0.9939 , 186.1543
0.9953 , 194.3095
