S2AC_800,
X,Y
0.0119 , 167.9784
0.0298 , 175.9158
0.0505 , 181.7787
0.0712 , 184.5898
0.0929 , 187.2962
0.1146 , 189.9656
0.1364 , 191.7712
0.1581 , 192.6469
0.1798 , 193.4511
0.2015 , 194.5414
0.2233 , 196.0847
0.2450 , 196.8650
0.2667 , 197.6453
0.2884 , 199.1886
0.3102 , 199.9451
0.3319 , 201.2738
0.3536 , 202.6979
0.3753 , 203.1563
0.3971 , 203.7816
0.4188 , 204.8957
0.4405 , 206.0766
0.4623 , 206.6280
0.4836 , 206.5162
0.5057 , 207.8262
0.5282 , 208.2828
0.5492 , 209.0052
0.5711 , 209.8381
0.5926 , 210.6135
0.6138 , 211.4458
0.6361 , 212.7702
0.6558 , 213.9040
0.6795 , 214.9508
0.7013 , 215.6834
0.7236 , 216.9101
0.7447 , 218.3886
0.7664 , 219.9868
0.7882 , 221.3083
0.8099 , 222.7086
0.8316 , 224.1566
0.8533 , 226.5822
0.8750 , 228.9005
0.8967 , 231.7752
0.9184 , 234.5812
0.9403 , 237.6899
0.9588 , 241.7927
0.9796 , 248.3891
0.9909 , 256.7469
0.9972 , 263.6703
