S1AC_900,
X,Y
0.0152 , 70.6515
0.0259 , 79.4528
0.0441 , 84.0079
0.0595 , 89.3921
0.0778 , 93.1525
0.1006 , 98.0705
0.1217 , 100.9748
0.1443 , 105.5740
0.1662 , 108.1923
0.1880 , 112.0115
0.2099 , 113.2316
0.2338 , 115.0581
0.2556 , 116.8595
0.2775 , 117.6920
0.2994 , 120.0264
0.3213 , 121.0284
0.3432 , 121.5459
0.3650 , 122.3299
0.3869 , 122.5566
0.4088 , 122.8560
0.4347 , 124.2472
0.4565 , 124.3771
0.4773 , 125.4859
0.5003 , 125.6058
0.5220 , 126.4893
0.5456 , 128.0384
0.5644 , 128.4900
0.5876 , 129.0915
0.6097 , 130.2524
0.6356 , 131.3165
0.6574 , 132.3064
0.6826 , 132.8602
0.7052 , 133.8275
0.7259 , 134.4172
0.7490 , 135.2258
0.7706 , 136.5077
0.7943 , 138.1160
0.8146 , 138.7890
0.8346 , 140.1634
0.8583 , 143.1672
0.8802 , 145.3563
0.9025 , 148.2690
0.9247 , 152.4539
0.9456 , 157.4009
0.9589 , 162.4062
0.9759 , 172.8166
0.9914 , 181.2737
0.9975 , 189.6364
0.9963 , 195.1968
