S1AC_700_stC,
X,Y
0.0698 , 78.9999
0.0839 , 79.8039
0.1031 , 80.8098
0.1254 , 81.0220
0.1447 , 82.0279
0.1654 , 82.2392
0.1832 , 82.6476
0.2055 , 83.0586
0.2530 , 83.6836
0.3041 , 84.1119
0.3538 , 84.7382
0.4021 , 85.5625
0.4525 , 85.5926
0.5022 , 86.0201
0.5727 , 86.0621
0.6231 , 86.4900
0.6558 , 86.7083
0.7040 , 86.9360
0.7730 , 87.5738
0.8049 , 87.7917
0.8256 , 88.4008
0.8523 , 88.6156
0.8790 , 89.4271
0.9028 , 89.8390
0.9272 , 90.6492
0.9539 , 92.0573
0.9762 , 94.8550
0.9836 , 96.8482
0.9924 , 99.4390
0.9968 , 105.0105
