S1AC_1,
X,Y
0.0149 , 145.4692
0.0361 , 148.2541
0.0573 , 150.7166
0.0785 , 153.9204
0.0997 , 157.2209
0.1209 , 159.8769
0.1421 , 162.0494
0.1633 , 163.4484
0.1845 , 166.3622
0.2057 , 167.3745
0.2269 , 167.6885
0.2481 , 168.4323
0.2694 , 169.6057
0.2906 , 171.1015
0.3118 , 171.4370
0.3330 , 171.8047
0.3542 , 172.6237
0.3755 , 173.2170
0.3967 , 173.9393
0.4179 , 175.1128
0.4391 , 176.0928
0.4603 , 176.9440
0.4815 , 176.7317
0.5028 , 177.2928
0.5240 , 178.1117
0.5452 , 179.1885
0.5664 , 179.6529
0.5877 , 179.8273
0.6089 , 180.0017
0.6301 , 181.5619
0.6513 , 182.2197
0.6725 , 183.1031
0.6938 , 182.9874
0.7150 , 184.2253
0.7362 , 185.5277
0.7574 , 186.6689
0.7786 , 187.1978
0.7998 , 187.3722
0.8211 , 188.1912
0.8423 , 189.8158
0.8635 , 190.2480
0.8847 , 191.1959
0.9059 , 192.3693
0.9271 , 194.4129
0.9483 , 197.1655
0.9708 , 199.8665
0.9908 , 204.9687
1.0061 , 209.5684
