S1AC_800_stC,
X,Y
0.0106 , 138.6305
0.0298 , 147.3930
0.0669 , 153.7794
0.0824 , 156.1753
0.1069 , 158.3777
0.1269 , 160.1796
0.1469 , 161.9815
0.1662 , 163.1863
0.1877 , 163.9947
0.2055 , 165.3975
0.2537 , 167.8129
0.3064 , 169.6343
0.3546 , 171.2542
0.4050 , 173.0742
0.4562 , 174.8947
0.5029 , 176.3148
0.5563 , 177.9378
0.6023 , 179.3574
0.6542 , 180.9795
0.7031 , 182.7986
0.7535 , 184.8176
0.8032 , 186.8361
0.8262 , 188.0431
0.8529 , 189.4513
0.8803 , 190.8598
0.9048 , 192.6644
0.9300 , 194.8672
0.9522 , 197.8638
0.9767 , 201.8561
0.9841 , 204.0482
0.9930 , 207.0368
0.9966 , 212.8067
