S1AC-6h,
X,Y
0.0102 , 116.2340
0.0340 , 134.7433
0.0629 , 147.1003
0.0818 , 152.7491
0.1035 , 159.7408
0.1217 , 163.2463
0.1406 , 166.4851
0.1638 , 169.9975
0.1827 , 172.1651
0.2067 , 174.6073
0.2532 , 178.4186
0.3070 , 181.7042
0.3332 , 183.3459
0.3565 , 184.7161
0.4038 , 187.1895
0.4554 , 189.9365
0.5034 , 192.6786
0.5536 , 195.4237
0.6031 , 197.9000
0.6547 , 200.9149
0.7049 , 203.9277
0.7543 , 208.0108
0.8001 , 212.3567
0.8212 , 214.7950
0.8539 , 219.3912
0.8771 , 224.2425
0.9011 , 229.8981
0.9250 , 239.0350
0.9510 , 252.7270
0.9740 , 277.6622
0.9826 , 287.5819
0.9919 , 299.6448
0.9940 , 308.2169
