S1AC_6,
X,Y
0.0131 , 119.9708
0.0333 , 131.2407
0.0410 , 135.7367
0.0627 , 145.0542
0.0835 , 151.5160
0.1035 , 158.3894
0.1247 , 162.5923
0.1459 , 166.4406
0.1671 , 169.9667
0.1883 , 172.6871
0.2095 , 174.4729
0.2316 , 176.0029
0.2519 , 176.8520
0.2733 , 179.0071
0.2954 , 180.3937
0.3155 , 181.6293
0.3367 , 183.3184
0.3579 , 185.1686
0.3777 , 185.7695
0.4004 , 186.8387
0.4216 , 188.4634
0.4436 , 190.0349
0.4621 , 190.6378
0.4879 , 192.1062
0.5084 , 192.8390
0.5354 , 194.4680
0.5566 , 195.6173
0.5766 , 196.4531
0.5990 , 197.9964
0.6195 , 198.5922
0.6425 , 200.4387
0.6607 , 201.3837
0.6851 , 202.5437
0.7070 , 202.9654
0.7286 , 205.7833
0.7513 , 207.2824
0.7712 , 209.7742
0.7957 , 212.5017
0.8169 , 213.7396
0.8379 , 215.9045
0.8600 , 218.3911
0.8808 , 222.7954
0.9024 , 229.0101
0.9230 , 236.4130
0.9365 , 242.6061
0.9528 , 252.3167
0.9634 , 260.8351
0.9717 , 270.5261
0.9787 , 280.7674
0.9833 , 289.8704
0.9924 , 299.2468
0.9952 , 306.3786
