S2AC-800,
X,Y
0.0125 , 167.8851
0.0299 , 176.9489
0.0648 , 184.6276
0.0857 , 187.1915
0.1040 , 189.0576
0.1258 , 191.1575
0.1433 , 192.3266
0.1651 , 193.2655
0.1861 , 194.6685
0.2053 , 195.8384
0.2550 , 198.1835
0.2882 , 199.8242
0.3065 , 200.2972
0.3345 , 201.9355
0.3572 , 202.4105
0.4026 , 204.0569
0.4558 , 205.9392
0.5047 , 207.5873
0.5554 , 209.7006
0.6060 , 211.8139
0.6523 , 213.6930
0.7029 , 216.2707
0.7535 , 219.0806
0.8042 , 222.8193
0.8251 , 224.6866
0.8539 , 227.2541
0.8783 , 230.0519
0.9036 , 233.0822
0.9281 , 236.3443
0.9525 , 240.9996
0.9760 , 247.0477
0.9847 , 250.0703
0.9960 , 255.8805
0.9960 , 262.3820
