S2AC_3h,
X,Y
0.0232 , 183.3510
0.0378 , 191.4246
0.0535 , 200.1121
0.0707 , 205.3427
0.0893 , 211.1869
0.1108 , 216.9624
0.1324 , 221.3309
0.1537 , 223.4378
0.1749 , 226.1858
0.1961 , 227.9721
0.2168 , 230.0303
0.2389 , 232.9108
0.2598 , 234.8698
0.2810 , 236.0151
0.3023 , 238.0579
0.3235 , 239.2031
0.3447 , 240.6368
0.3660 , 241.4616
0.3879 , 243.1275
0.4085 , 244.0405
0.4336 , 245.0939
0.4548 , 245.7263
0.4759 , 246.2702
0.4973 , 247.6962
0.5171 , 249.0041
0.5404 , 249.6027
0.5601 , 250.5764
0.5840 , 253.0591
0.6055 , 254.0657
0.6275 , 255.2077
0.6480 , 256.2921
0.6686 , 257.6183
0.6905 , 258.1338
0.7098 , 259.5441
0.7351 , 261.7227
0.7561 , 263.7514
0.7795 , 266.3128
0.7986 , 267.4523
0.8198 , 269.6875
0.8410 , 272.4996
0.8622 , 275.9848
0.8834 , 280.3596
0.9046 , 283.6285
0.9268 , 287.6862
0.9469 , 294.4456
0.9666 , 299.0048
0.9777 , 306.9703
0.9882 , 314.1986
0.9967 , 321.3699
0.9995 , 328.9545
