S2AC_700,
X,Y
0.0135 , 112.7048
0.0345 , 116.9701
0.0561 , 120.1794
0.0778 , 122.4540
0.0995 , 123.4966
0.1212 , 124.9446
0.1429 , 126.2972
0.1647 , 126.9582
0.1864 , 127.8101
0.2081 , 128.2088
0.2299 , 128.9367
0.2516 , 129.2448
0.2733 , 130.2636
0.2951 , 130.4954
0.3168 , 131.2996
0.3385 , 131.3168
0.3602 , 132.0971
0.3820 , 133.4974
0.4037 , 133.5623
0.4254 , 134.6542
0.4472 , 135.0276
0.4689 , 134.7348
0.4906 , 135.2051
0.5124 , 135.7708
0.5341 , 135.8358
0.5558 , 135.8530
0.5776 , 136.8718
0.5993 , 136.8652
0.6210 , 137.8124
0.6428 , 138.1396
0.6645 , 138.6576
0.6862 , 139.5094
0.7080 , 139.6936
0.7297 , 140.6885
0.7514 , 140.9681
0.7731 , 141.9630
0.7949 , 142.8148
0.8166 , 143.5951
0.8383 , 145.2815
0.8601 , 146.0380
0.8818 , 147.0567
0.9035 , 148.4808
0.9252 , 150.3580
0.9469 , 152.4498
0.9686 , 155.6861
0.9874 , 159.9514
0.9932 , 165.6283
1.0001 , 170.2942
