S2AC-1h,
X,Y
0.0114 , 168.3819
0.0311 , 176.3040
0.0648 , 183.2959
0.0855 , 186.1651
0.1045 , 187.7685
0.1261 , 189.3753
0.1434 , 191.2924
0.1642 , 192.2663
0.1849 , 193.5560
0.2048 , 194.8447
0.2532 , 197.1171
0.2870 , 199.0550
0.3060 , 199.3950
0.3337 , 200.6935
0.3571 , 201.3548
0.4020 , 203.3069
0.4548 , 204.3213
0.5041 , 206.5948
0.5535 , 208.2365
0.6054 , 210.8292
0.6538 , 212.4698
0.7031 , 215.3750
0.7515 , 217.6474
0.8034 , 221.5036
0.8259 , 223.4273
0.8544 , 225.9904
0.8786 , 228.8639
0.9028 , 231.7375
0.9278 , 234.9279
0.9511 , 239.6956
0.9752 , 245.7279
0.9829 , 250.4759
0.9940 , 260.9141
