S1AC-1h,
X,Y
0.0316 , 147.3262
0.0643 , 153.7969
0.0817 , 156.7659
0.1086 , 158.1409
0.1268 , 159.2364
0.1472 , 161.9415
0.1668 , 163.5745
0.1879 , 164.4061
0.2083 , 166.0401
0.2541 , 168.7794
0.2861 , 170.1612
0.3072 , 171.2606
0.3326 , 171.5625
0.3552 , 172.6638
0.4039 , 174.8714
0.4549 , 176.0107
0.5029 , 177.4140
0.5567 , 179.0928
0.6018 , 180.7599
0.6535 , 182.1680
0.7015 , 184.1068
0.7509 , 186.0476
0.8019 , 187.7225
0.8266 , 189.0945
0.8528 , 190.7363
0.8790 , 191.8425
0.9102 , 194.2945
0.9372 , 194.5983
0.9691 , 198.9258
0.9814 , 204.0302
0.9967 , 207.5319
