PE-H-9-4,
X,Y
0.0020 , 216.5591
0.0002 , 178.1073
0.0015 , 139.0069
0.0008 , 103.1782
0.0012 , 73.7442
0.0012 , 45.5770
0.0011 , 18.6083
0.0028 , 256.5848
0.0106 , 286.4514
0.0245 , 318.0497
0.0390 , 341.5986
0.0662 , 370.1021
0.1003 , 392.0668
0.1355 , 408.8411
0.1708 , 419.1376
0.2060 , 429.0601
0.2413 , 434.2315
0.2765 , 439.3272
0.3117 , 444.2364
0.3470 , 447.9483
0.3822 , 451.9143
0.4175 , 456.2097
0.4527 , 460.1123
0.4889 , 464.2208
0.5213 , 466.8280
0.5584 , 471.3622
0.5955 , 474.9451
0.6296 , 480.2260
0.6618 , 483.5237
0.7009 , 490.0057
0.7376 , 496.5616
0.7699 , 502.1720
0.8056 , 509.8038
0.8433 , 519.4637
0.8781 , 528.7107
0.9130 , 534.7647
0.9482 , 541.3171
0.9835 , 550.5332
1.0033 , 553.9711
