PE-H-9-3,
X,Y
0.0600 , 316.9824
0.0800 , 328.5152
0.1000 , 336.6489
0.1200 , 343.8498
0.1400 , 350.1415
0.1600 , 354.6122
0.1800 , 358.8851
0.2000 , 362.0864
0.2200 , 364.7318
0.2400 , 367.2572
0.2600 , 369.5609
0.2800 , 371.7174
0.3000 , 373.3852
0.3200 , 375.1779
0.3400 , 376.2378
0.3600 , 377.3760
0.3800 , 377.9646
0.4000 , 378.9292
0.4200 , 381.4064
0.4400 , 381.9973
0.4600 , 383.9177
0.4800 , 387.4294
0.5000 , 388.7837
0.5200 , 390.7517
0.5400 , 392.7856
0.5600 , 394.2623
0.5800 , 396.1514
0.6000 , 397.4102
0.6200 , 398.9074
0.6400 , 400.6297
0.6600 , 402.0678
0.6800 , 404.2936
0.7000 , 406.4153
0.7200 , 408.6706
0.7400 , 412.6465
0.7600 , 417.2825
0.7800 , 420.7145
0.8000 , 421.6444
0.8200 , 423.3455
0.8400 , 426.7569
0.8600 , 429.3169
0.8800 , 432.0043
0.9000 , 434.1206
0.9200 , 435.8462
0.9400 , 437.8137
0.9600 , 439.8645
0.9800 , 444.3098
0.9934 , 445.8891
0.0450 , 304.8144
0.0285 , 286.8931
