PEACF-50,
X,Y
0.9960 , 533.1244
0.9732 , 524.9964
0.9583 , 519.5782
0.9446 , 516.8606
0.9091 , 507.3661
0.8954 , 504.6486
0.8509 , 497.8408
0.8120 , 491.0407
0.7983 , 489.6726
0.7594 , 482.8725
0.7468 , 481.5060
0.7011 , 473.3472
0.6622 , 469.2461
0.6508 , 466.5317
0.6017 , 459.7177
0.5617 , 454.2656
0.5502 , 452.9006
0.4999 , 447.4347
0.4508 , 439.2712
0.3525 , 429.6918
0.3011 , 425.5738
0.3011 , 425.5738
0.2530 , 417.4119
0.2108 , 411.9567
0.1605 , 402.4421
0.1433 , 401.0694
0.0896 , 387.5017
0.0736 , 379.3829
0.0644 , 373.9724
0.0541 , 365.8614
0.0415 , 356.3977
0.0324 , 348.2882
0.0267 , 334.7852
0.0198 , 323.9797
