PEACF-50,
X,Y
0.0155 , 288.2474
0.0270 , 325.7616
0.0439 , 356.6029
0.0721 , 375.9120
0.1003 , 390.2960
0.1284 , 395.1842
0.1566 , 402.1112
0.1848 , 407.3946
0.2130 , 411.8706
0.2411 , 416.6761
0.2693 , 417.6532
0.2975 , 423.1310
0.3257 , 425.2990
0.3538 , 432.9598
0.3820 , 433.9507
0.4098 , 437.2540
0.4383 , 438.0265
0.4947 , 445.2771
0.5223 , 447.0501
0.5510 , 452.1097
0.5798 , 453.1446
0.6989 , 471.4312
0.8108 , 490.4799
0.9261 , 512.8583
0.9543 , 515.9815
0.9825 , 527.9830
1.0027 , 531.5643
0.4725 , 441.9995
0.6017 , 458.3682
0.6497 , 465.1806
0.6634 , 467.8982
0.7263 , 477.4297
0.7468 , 480.1565
0.7628 , 481.5276
0.7971 , 489.6711
0.8486 , 497.8377
0.8920 , 503.2944
0.9080 , 506.0150
0.0335 , 345.5907
