PEACF-30,
X,Y
0.0400 , 259.9674
0.0600 , 268.3818
0.0800 , 272.1024
0.1000 , 274.3842
0.1200 , 276.8639
0.1400 , 279.5352
0.1600 , 281.8463
0.1800 , 285.7147
0.2000 , 287.1958
0.2200 , 288.1656
0.2400 , 292.2211
0.2600 , 291.3437
0.2800 , 290.3446
0.3000 , 292.8138
0.3200 , 293.6112
0.3400 , 294.8968
0.3600 , 296.2475
0.3800 , 296.2405
0.4000 , 297.8592
0.4200 , 299.6121
0.4400 , 298.5239
0.4600 , 299.9639
0.4800 , 304.1495
0.5000 , 306.9070
0.5200 , 307.6948
0.5400 , 308.7852
0.5600 , 311.4341
0.5800 , 316.1602
0.6000 , 315.7025
0.6200 , 316.3282
0.6400 , 319.9278
0.6600 , 319.5740
0.6800 , 320.6238
0.7000 , 322.5927
0.7200 , 324.7695
0.7400 , 327.2277
0.7600 , 327.9474
0.7800 , 329.6011
0.8000 , 331.8399
0.8200 , 334.9967
0.8400 , 338.0430
0.8600 , 340.4738
0.8800 , 343.2917
0.9000 , 345.7663
0.9200 , 349.1232
0.9400 , 350.4668
0.9600 , 353.0378
0.9800 , 360.8721
0.9993 , 363.0883
0.0231 , 252.4592
