MC900-90,
X,Y
0.9953 , 589.7010
0.9819 , 575.5814
0.9499 , 569.7674
0.9251 , 563.1229
0.9023 , 557.3090
0.8765 , 553.1561
0.8512 , 548.1728
0.8264 , 544.0199
0.8016 , 539.0365
0.7752 , 534.8837
0.7514 , 532.3920
0.7276 , 528.2392
0.7023 , 524.9169
0.6765 , 520.7641
0.6532 , 517.4419
0.6264 , 513.2890
0.6021 , 510.7973
0.5762 , 507.4751
0.5514 , 504.1528
0.5271 , 501.6611
0.5008 , 498.3389
0.4770 , 495.8472
0.4517 , 492.5249
0.4274 , 489.2027
0.4016 , 485.0498
0.3762 , 482.5581
0.3519 , 479.2359
0.3271 , 475.9136
0.3018 , 471.7608
0.2770 , 468.4385
0.2522 , 465.1163
0.2274 , 460.1329
0.2010 , 455.1495
0.1762 , 448.5050
0.1504 , 442.6910
0.1251 , 435.2159
0.1018 , 426.9103
0.0915 , 421.0963
0.0817 , 416.9435
0.0713 , 411.9601
0.0605 , 405.3156
0.0501 , 396.1794
0.0398 , 387.8738
0.0305 , 378.7375
0.0253 , 371.2625
0.0207 , 363.7874
0.0124 , 345.5150
