MCS900-15,
X,Y
0.9948 , 463.0444
0.9825 , 444.4148
0.9501 , 432.3041
0.9256 , 425.9134
0.9000 , 423.1157
0.8755 , 418.1608
0.8504 , 415.3614
0.8253 , 411.1261
0.8003 , 407.6088
0.7795 , 404.0791
0.7532 , 402.0010
0.7281 , 400.6373
0.7024 , 399.2753
0.6785 , 398.6259
0.6522 , 397.2657
0.6278 , 395.9002
0.6027 , 395.9722
0.5764 , 394.6120
0.5513 , 392.5303
0.5275 , 391.8810
0.5012 , 390.5207
0.4785 , 389.1500
0.4528 , 387.7880
0.4265 , 387.1456
0.4015 , 385.0640
0.3782 , 384.4129
0.3531 , 383.0491
0.3268 , 380.9710
0.3018 , 379.6073
0.2773 , 378.2418
0.2522 , 376.1602
0.2265 , 374.0803
0.2021 , 372.7148
0.1764 , 369.1992
0.1513 , 365.6819
0.1256 , 362.1662
0.1024 , 357.9257
0.0920 , 355.8020
0.0810 , 352.9621
0.0693 , 349.4061
0.0602 , 344.4073
0.0504 , 340.1282
0.0418 , 335.8455
0.0296 , 325.8304
0.0240 , 319.3854
0.0192 , 312.9385
0.0112 , 296.4503
