MC900-150,
X,Y
0.9943 , 810.6312
0.9809 , 791.5282
0.9494 , 777.4086
0.9251 , 769.1030
0.9003 , 760.7973
0.8755 , 754.1528
0.8501 , 747.5083
0.8258 , 741.6944
0.8000 , 735.0498
0.7752 , 730.8970
0.7519 , 725.0831
0.7261 , 719.2691
0.7013 , 714.2857
0.6749 , 709.3023
0.6527 , 703.4884
0.6264 , 698.5050
0.6016 , 690.1993
0.5767 , 682.7243
0.5519 , 676.9103
0.5266 , 674.4186
0.5013 , 669.4352
0.4765 , 664.4518
0.4512 , 659.4684
0.4264 , 652.8239
0.4021 , 647.8405
0.3767 , 643.6877
0.3525 , 637.8738
0.3271 , 633.7209
0.3018 , 629.5681
0.2760 , 624.5847
0.2512 , 619.6013
0.2258 , 612.1262
0.2000 , 606.3123
0.1747 , 598.8372
0.1504 , 588.8704
0.1282 , 579.7342
0.1008 , 563.9535
0.0910 , 557.3090
0.0822 , 549.8339
0.0744 , 544.0199
0.0599 , 531.5615
0.0527 , 520.7641
