MCS900-60,
X,Y
0.9950 , 858.5929
0.9809 , 819.1502
0.9497 , 803.4466
0.9246 , 796.3399
0.9002 , 789.2314
0.8763 , 781.4032
0.8506 , 775.0161
0.8255 , 767.9094
0.8023 , 761.5153
0.7778 , 755.8425
0.7515 , 750.1751
0.7265 , 744.5041
0.7020 , 738.1135
0.6769 , 733.1604
0.6518 , 728.2073
0.6274 , 723.9703
0.6023 , 719.7350
0.5772 , 715.4998
0.5521 , 711.2646
0.5276 , 706.3097
0.5020 , 702.0762
0.4775 , 697.8392
0.4518 , 692.1700
0.4273 , 687.2151
0.4016 , 682.9816
0.3772 , 679.4625
0.3509 , 674.5129
0.3258 , 669.5598
0.3007 , 664.6067
0.2762 , 661.0876
0.2499 , 656.1380
0.2243 , 651.1866
0.2004 , 644.7943
0.1784 , 638.3966
0.1521 , 629.1398
0.1258 , 614.8578
0.0946 , 598.4363
0.0835 , 589.8534
0.0750 , 582.6993
0.0615 , 564.0732
0.0505 , 549.7473
0.0401 , 534.7018
0.0309 , 517.4992
0.0260 , 503.8737
0.0199 , 487.3801
0.0101 , 456.5397
0.0076 , 447.9322
0.0052 , 439.3247
