MC900-180,
X,Y
0.9938 , 877.9070
0.9814 , 842.1927
0.9509 , 818.9369
0.9251 , 813.9535
0.8997 , 807.3090
0.8755 , 801.4950
0.8512 , 793.1894
0.8264 , 787.3754
0.8010 , 781.5615
0.7757 , 774.0864
0.7514 , 766.6113
0.7271 , 762.4585
0.7018 , 756.6445
0.6770 , 752.4917
0.6522 , 747.5083
0.6274 , 742.5249
0.6016 , 737.5415
0.5757 , 733.3887
0.5525 , 729.2359
0.5266 , 724.2525
0.5018 , 719.2691
0.4765 , 715.1163
0.4512 , 710.9635
0.4269 , 706.8106
0.4010 , 702.6578
0.3757 , 697.6744
0.3509 , 692.6910
0.3261 , 686.8771
0.3003 , 681.8937
0.2755 , 676.0797
0.2501 , 668.6047
0.2253 , 661.1296
0.2036 , 653.6545
0.1767 , 643.6877
0.1519 , 630.3987
0.1266 , 614.6179
0.1003 , 598.0066
0.0884 , 587.2093
0.0817 , 580.5648
0.0739 , 574.7508
0.0615 , 560.6312
0.0506 , 543.1894
0.0398 , 529.0698
0.0295 , 510.7973
0.0196 , 490.0332
0.0103 , 457.6412
