MC900-210,
X,Y
0.9953 , 884.5515
0.9793 , 852.1595
0.9488 , 838.0399
0.9245 , 832.2259
0.8987 , 827.2425
0.8749 , 823.9203
0.8491 , 817.2757
0.8258 , 814.7841
0.8005 , 806.4784
0.7752 , 803.9867
0.7504 , 802.3256
0.7256 , 799.0033
0.7008 , 795.6811
0.6755 , 794.8505
0.6506 , 791.5282
0.6264 , 788.2060
0.6010 , 785.7143
0.5767 , 782.3920
0.5530 , 779.9003
0.5256 , 778.2392
0.5018 , 774.0864
0.4755 , 770.7641
0.4506 , 768.2724
0.4258 , 765.7807
0.3995 , 763.2890
0.3752 , 758.3056
0.3499 , 754.1528
0.3251 , 745.8472
0.3028 , 740.0332
0.2775 , 730.8970
0.2527 , 718.4385
0.2264 , 705.1495
0.2005 , 690.1993
0.1752 , 671.9269
0.1519 , 652.8239
0.1282 , 628.7375
0.1013 , 598.0066
0.0910 , 585.5482
0.0264 , 473.4219
0.0305 , 490.0332
0.0481 , 526.5781
0.0625 , 546.5116
0.0749 , 564.7841
