MC900-120,
X,Y
0.9943 , 700.1661
0.9824 , 677.7409
0.9530 , 665.2824
0.9282 , 661.9601
0.9003 , 657.8073
0.8755 , 654.4850
0.8501 , 649.5017
0.8253 , 646.1794
0.8000 , 642.8571
0.7762 , 639.5349
0.7504 , 636.2126
0.7256 , 631.2292
0.7008 , 627.9070
0.6765 , 624.5847
0.6512 , 620.4319
0.6258 , 617.1096
0.6000 , 613.7874
0.5767 , 608.8040
0.5514 , 605.4817
0.5261 , 600.4983
0.5018 , 597.1761
0.4765 , 593.0233
0.4501 , 588.8704
0.4264 , 584.7176
0.4005 , 580.5648
0.3757 , 578.0731
0.3504 , 573.0897
0.3256 , 568.9369
0.3028 , 563.9535
0.2755 , 554.8173
0.2506 , 544.8505
0.2258 , 538.2060
0.2000 , 529.9003
0.1747 , 522.4252
0.1530 , 514.1196
0.1271 , 502.4917
0.1013 , 490.8638
0.0915 , 485.0498
0.0827 , 478.4053
0.0708 , 470.9302
0.0605 , 460.9635
0.0522 , 453.4884
0.0419 , 441.8605
0.0300 , 428.5714
0.0258 , 419.4352
0.0191 , 407.8073
