MS-900-60,
X,Y
0.9940 , 781.2646
0.9818 , 760.0585
0.9503 , 748.3955
0.9243 , 741.5248
0.9015 , 735.3417
0.8755 , 728.4710
0.8501 , 723.6515
0.8257 , 720.2005
0.8013 , 716.0660
0.7763 , 711.2472
0.7514 , 706.4285
0.7260 , 701.6090
0.7001 , 696.7889
0.6767 , 691.9722
0.6507 , 687.8356
0.6258 , 683.0168
0.6009 , 678.1981
0.5770 , 673.3807
0.5515 , 669.2448
0.5256 , 664.4246
0.5002 , 659.6052
0.4758 , 655.4706
0.4519 , 650.6533
0.4259 , 646.5167
0.4010 , 641.6979
0.3756 , 636.8784
0.3512 , 632.7439
0.3262 , 629.9757
0.3008 , 627.2069
0.2759 , 623.0716
0.2499 , 618.9350
0.2245 , 614.1156
0.1986 , 608.6119
0.1737 , 601.0590
0.1518 , 594.1938
0.1264 , 583.9062
0.1009 , 569.5174
0.0897 , 564.0338
0.0811 , 556.5032
0.0496 , 529.1191
0.0399 , 517.4859
0.0298 , 499.0168
0.0247 , 488.7569
0.0206 , 480.5490
0.0084 , 448.4066
