MS-900-45,
X,Y
0.9930 , 691.7212
0.9813 , 674.6170
0.9498 , 663.6375
0.9254 , 656.7689
0.8995 , 650.5817
0.8751 , 645.7636
0.8501 , 640.2613
0.8257 , 635.4432
0.7993 , 631.3059
0.7759 , 627.1728
0.7510 , 622.3540
0.7250 , 618.9009
0.7006 , 614.7664
0.6757 , 610.6312
0.6518 , 607.8644
0.6269 , 603.7291
0.6004 , 600.2754
0.5760 , 596.8243
0.5506 , 594.0555
0.5262 , 589.2374
0.5007 , 587.1521
0.4758 , 582.3333
0.4509 , 578.8816
0.4254 , 575.4292
0.4005 , 571.2940
0.3746 , 567.8409
0.3507 , 564.3906
0.3258 , 561.6224
0.3008 , 556.1201
0.2744 , 551.2993
0.2500 , 547.1647
0.2245 , 543.0288
0.1996 , 537.5265
0.1737 , 531.3393
0.1493 , 523.7871
0.1264 , 514.1865
0.0994 , 503.8967
0.0903 , 499.0995
0.0816 , 494.9865
0.0766 , 489.5114
0.0689 , 484.7163
0.0588 , 477.8671
0.0486 , 468.9673
0.0405 , 459.3868
0.0283 , 444.3326
0.0232 , 436.1233
0.0181 , 425.1799
0.0110 , 397.8291
