MS-900-15,
X,Y
0.9937 , 396.4384
0.9815 , 384.1183
0.9505 , 379.2912
0.9255 , 377.2065
0.9011 , 375.8061
0.8757 , 373.7207
0.8523 , 372.3217
0.8253 , 371.6013
0.8014 , 370.2016
0.7770 , 368.1176
0.7511 , 366.7151
0.7257 , 365.3133
0.7007 , 363.2286
0.6773 , 361.8296
0.6509 , 360.4264
0.6275 , 359.7109
0.6015 , 356.9413
0.5756 , 356.2223
0.5512 , 354.8219
0.5258 , 353.4201
0.5019 , 351.3368
0.4759 , 349.9343
0.4515 , 347.8503
0.4261 , 347.1320
0.4011 , 345.0474
0.3772 , 343.6477
0.3518 , 342.2458
0.3259 , 340.1598
0.3015 , 338.7594
0.2765 , 337.3582
0.2516 , 335.2736
0.2257 , 333.1875
0.2007 , 331.7864
0.1758 , 329.7018
0.1499 , 326.2487
0.1255 , 322.1141
0.1011 , 319.3467
0.0904 , 317.2815
0.0807 , 314.5342
0.0700 , 311.7854
0.0599 , 309.0374
0.0487 , 304.9210
0.0395 , 300.1238
0.0294 , 295.3252
0.0243 , 290.5335
0.0197 , 285.7426
0.0095 , 271.3746
