MS-900-75,
X,Y
0.9935 , 809.9720
0.9808 , 795.6005
0.9487 , 783.9368
0.9238 , 777.7510
0.9004 , 772.2508
0.8750 , 766.7478
0.8501 , 762.6126
0.8251 , 757.7938
0.8012 , 753.6600
0.7748 , 750.8897
0.7509 , 746.7559
0.7265 , 743.9884
0.7005 , 740.5353
0.6761 , 737.0843
0.6512 , 732.9490
0.6258 , 730.1802
0.6009 , 728.0955
0.5759 , 724.6438
0.5505 , 721.1914
0.5261 , 717.7404
0.5012 , 713.6052
0.4752 , 710.8356
0.4518 , 707.3860
0.4254 , 703.9322
0.3999 , 700.4798
0.3750 , 696.3446
0.3496 , 691.5251
0.3237 , 685.3379
0.2982 , 679.8349
0.2774 , 673.6547
0.2520 , 665.4176
0.2260 , 657.1798
0.2001 , 646.2079
0.1747 , 634.5532
0.1492 , 618.1138
0.1243 , 601.6751
0.1009 , 582.5044
0.0902 , 572.2369
0.0801 , 560.6030
0.0735 , 553.7587
0.0684 , 549.6506
0.0603 , 535.9689
0.0496 , 520.9167
0.0404 , 505.1831
0.0303 , 488.7646
0.0242 , 475.7692
0.0186 , 461.4075
0.0094 , 429.9528
0.0074 , 419.6971
0.0049 , 406.7066
0.0029 , 392.3498
0.0008 , 367.7401
-0.0007 , 340.3969
-0.0007 , 284.3477
