MCS900-45,
X,Y
0.9956 , 751.6279
0.9809 , 720.0837
0.9515 , 707.2462
0.9252 , 699.4251
0.9001 , 691.6005
0.8744 , 686.6492
0.8506 , 680.2568
0.8249 , 676.0233
0.8004 , 670.3506
0.7753 , 666.1153
0.7509 , 661.8784
0.7264 , 657.6414
0.7007 , 653.4079
0.6769 , 649.8870
0.6512 , 644.2178
0.6261 , 640.7004
0.6010 , 636.4652
0.5759 , 632.2299
0.5496 , 628.7161
0.5270 , 623.7560
0.5019 , 617.3671
0.4768 , 613.1319
0.4517 , 603.8715
0.4273 , 600.3524
0.4022 , 596.8350
0.3771 , 593.3177
0.3520 , 589.0824
0.3257 , 585.5686
0.3013 , 582.0495
0.2762 , 578.5321
0.2511 , 573.5790
0.2248 , 569.3473
0.1997 , 562.9584
0.1740 , 556.5713
0.1520 , 549.4558
0.1257 , 539.4811
0.1000 , 525.9152
0.0896 , 519.4842
0.0823 , 513.7623
0.0621 , 496.5913
0.0511 , 484.4191
0.0400 , 471.5289
0.0296 , 455.0477
0.0247 , 447.8830
0.0204 , 432.8200
