TPCSs-2-700,
X,Y
0.0883 , 301.1578
0.0912 , 249.3764
0.0917 , 206.2522
0.0905 , 172.1103
0.0912 , 131.0807
0.0912 , 102.5246
0.0912 , 75.8529
0.0912 , 41.1519
0.0912 , 10.7967
0.0934 , 349.2379
0.1037 , 383.6870
0.1105 , 420.0622
0.1402 , 444.1737
0.1763 , 459.2281
0.2114 , 465.3886
0.2464 , 468.9165
0.2815 , 469.9020
0.3165 , 471.5088
0.3515 , 473.1930
0.3866 , 474.0352
0.4216 , 475.5220
0.4567 , 477.2471
0.4917 , 477.5085
0.5268 , 476.9916
0.5618 , 477.5949
0.5969 , 479.1763
0.6319 , 479.1795
0.6670 , 479.3154
0.7020 , 479.3448
0.7370 , 480.6456
0.7721 , 480.4403
0.8071 , 480.1637
0.8422 , 481.5559
0.8772 , 482.9948
0.9123 , 482.2681
0.9473 , 483.4460
0.9824 , 487.1878
1.0032 , 484.9138
