TPCSs-2-700,
X,Y
0.0934 , 349.2379
0.3165 , 471.5088
0.9962 , 483.0740
0.9756 , 480.1770
0.9528 , 480.1770
0.9322 , 480.1770
0.9116 , 479.2114
0.8876 , 479.2114
0.8671 , 478.2457
0.8408 , 479.2114
0.8191 , 478.2457
0.7745 , 477.2800
0.7528 , 478.2457
0.7277 , 477.2800
0.6820 , 478.2457
0.6375 , 477.2800
0.5918 , 477.2800
0.5461 , 476.3144
0.5004 , 475.3487
0.4558 , 474.3830
0.4090 , 472.4517
0.3656 , 471.4861
0.2742 , 467.6234
0.2525 , 464.7264
0.2376 , 461.8294
0.2171 , 459.8981
0.2034 , 458.9324
0.1839 , 455.0697
0.1462 , 444.4474
0.1657 , 450.2414
0.1371 , 438.6534
0.1177 , 425.1341
0.1074 , 401.9582
0.0971 , 386.5075
0.0948 , 366.2285
0.0937 , 327.6019
0.0937 , 307.3230
0.0925 , 287.0440
0.0925 , 267.7307
0.0925 , 247.4517
0.0925 , 227.1727
0.0925 , 207.8594
0.0914 , 188.5461
0.0914 , 168.2672
0.0925 , 151.8509
0.0925 , 139.2972
0.0914 , 124.8122
0.0925 , 109.3616
0.0914 , 92.9453
0.0914 , 78.4603
0.0914 , 63.0097
0.0914 , 46.5933
0.0925 , 32.1084
0.0914 , 15.6921
