TPCSs-3-700,
X,Y
0.3165 , 464.4432
0.9916 , 479.2114
0.9745 , 477.2800
0.9516 , 478.2457
0.9368 , 477.2800
0.9128 , 476.3144
0.8876 , 476.3144
0.8625 , 475.3487
0.8419 , 475.3487
0.8168 , 474.3830
0.7711 , 475.3487
0.7266 , 473.4174
0.6809 , 474.3830
0.6352 , 473.4174
0.5895 , 472.4517
0.5449 , 472.4517
0.4992 , 471.4861
0.4535 , 469.5547
0.4090 , 467.6234
0.3633 , 466.6577
0.2742 , 460.8637
0.2571 , 460.8637
0.2468 , 459.8981
0.2205 , 456.0354
0.2034 , 454.1041
0.1839 , 449.2758
0.1657 , 444.4474
0.1508 , 438.6534
0.1360 , 429.9624
0.1211 , 415.4775
0.1154 , 410.6491
0.1051 , 394.2328
0.1005 , 380.7135
