TPCSs-2-800,
X,Y
0.9939 , 603.7822
0.9745 , 601.8509
0.9516 , 600.8852
0.9299 , 600.8852
0.9105 , 600.8852
0.8831 , 599.9195
0.8625 , 599.9195
0.8351 , 599.9195
0.8168 , 597.9882
0.7997 , 598.9539
0.7711 , 597.9882
0.7266 , 596.0569
0.6809 , 596.0569
0.6363 , 596.0569
0.5895 , 593.1599
0.5449 , 592.1942
0.4981 , 591.2285
0.4535 , 588.3315
0.4136 , 585.4345
0.3644 , 581.5719
0.3187 , 576.7436
0.2742 , 569.9839
0.2582 , 566.1212
0.2399 , 561.2929
0.2194 , 555.4989
0.2034 , 550.6706
0.1839 , 541.9796
0.1668 , 533.2886
0.1474 , 519.7693
0.1337 , 506.2500
0.1188 , 483.0740
0.1051 , 449.2758
0.0994 , 432.8594
0.0983 , 415.4775
0.0948 , 397.1298
0.0948 , 379.7479
0.0937 , 359.4689
0.0937 , 339.1899
0.0925 , 320.8423
0.0925 , 299.5976
0.0925 , 280.2843
0.0925 , 260.9710
0.0914 , 239.7264
0.0925 , 220.4131
0.0914 , 200.1341
0.0925 , 179.8552
0.0925 , 160.5418
0.0914 , 141.2285
0.0914 , 119.9839
0.0925 , 105.4989
0.0914 , 90.0483
0.0925 , 75.5633
0.0925 , 61.0783
0.0925 , 45.6277
0.0914 , 30.1770
0.0914 , 15.6921
