TPCSs-1-700,
X,Y
0.0910 , 244.2804
0.0915 , 203.3860
0.0912 , 167.9336
0.0906 , 135.5091
0.0921 , 97.6129
0.0907 , 63.7461
0.0890 , 32.4813
0.0912 , 282.2888
0.0932 , 9.8158
0.1046 , 332.9448
0.1313 , 365.8895
0.1663 , 379.7274
0.2014 , 386.9486
0.2364 , 392.8935
0.2714 , 397.6965
0.3065 , 402.6338
0.3415 , 407.0337
0.3766 , 411.2657
0.4116 , 416.1358
0.4467 , 420.8044
0.4817 , 424.3982
0.5168 , 425.9432
0.5518 , 426.6822
0.5869 , 427.7234
0.6219 , 427.9585
0.6569 , 428.0256
0.6920 , 428.2943
0.7270 , 429.2012
0.7621 , 429.3691
0.7971 , 429.3691
0.8322 , 429.3691
0.8672 , 429.5706
0.9023 , 430.2760
0.9373 , 430.7798
0.9723 , 432.3584
0.9957 , 435.0118
