TPCSs-3-700,
X,Y
0.0934 , 331.7314
0.1025 , 370.0431
0.0971 , 350.3723
0.1064 , 393.9872
0.1161 , 412.4154
0.1329 , 427.4455
0.1513 , 438.3460
0.1696 , 445.5618
0.1880 , 449.6954
0.2064 , 453.2221
0.2247 , 456.2101
0.2431 , 457.9029
0.2614 , 459.7945
0.2792 , 461.6967
0.2981 , 462.8081
0.3165 , 464.4432
0.3349 , 465.0203
0.3532 , 465.5012
0.3716 , 466.7323
0.3899 , 467.4569
0.4083 , 468.2328
0.4266 , 468.6431
0.4457 , 469.3966
0.4634 , 469.5408
0.4817 , 470.2782
0.4999 , 470.2312
0.5184 , 470.7912
0.5368 , 471.4003
0.5551 , 471.6248
0.5735 , 472.1377
0.5915 , 471.5261
0.6102 , 472.3942
0.6291 , 472.5705
0.6469 , 473.1637
0.6653 , 473.0995
0.6834 , 473.1113
0.7020 , 473.8049
0.7208 , 473.9518
0.7387 , 473.3881
0.7571 , 473.5484
0.7750 , 474.3339
0.7938 , 474.9590
0.8124 , 474.4514
0.8305 , 473.9010
0.8489 , 474.2024
0.8672 , 474.4589
0.8856 , 474.5743
0.9039 , 474.8436
0.9223 , 474.7154
0.9406 , 475.4015
0.9590 , 476.5364
0.9773 , 477.9086
0.9924 , 478.5406
0.0924 , 318.7500
0.0924 , 300.0000
0.0924 , 279.6875
0.0887 , 253.1250
0.0906 , 229.6875
0.0906 , 214.0625
0.0924 , 196.8750
0.0924 , 171.8750
0.0906 , 146.8750
0.0906 , 132.8125
0.0906 , 115.6250
0.0906 , 93.7500
0.0887 , 75.0000
0.0887 , 42.1875
0.0887 , 17.1875
