TPCSs-2-600,
X,Y
0.0932 , 275.3096
0.0912 , 252.4491
0.0912 , 231.3715
0.0912 , 210.1411
0.0912 , 189.2986
0.0912 , 171.1011
0.0912 , 152.9389
0.0912 , 134.2868
0.0909 , 118.6011
0.0906 , 90.1278
0.0912 , 66.5067
0.0907 , 51.7986
0.0898 , 36.9122
0.0912 , 22.4824
0.0981 , 299.6477
0.1147 , 315.8755
0.0923 , 107.0337
0.1369 , 325.0465
0.1494 , 327.7198
0.1667 , 330.0353
0.2017 , 334.0664
0.2413 , 336.0232
0.2744 , 337.7798
0.3110 , 339.0813
0.3456 , 341.6134
0.3780 , 341.4185
0.4140 , 342.0964
0.4507 , 342.7583
0.4873 , 343.2061
0.5201 , 345.4909
0.5534 , 343.6387
0.5901 , 344.6208
0.6272 , 344.3878
0.6610 , 346.3326
0.6931 , 344.7296
0.7294 , 344.7296
0.7663 , 345.0306
0.8017 , 344.1402
0.8351 , 344.2258
0.8707 , 343.5472
0.9049 , 344.3201
0.9397 , 343.8961
0.9776 , 345.3543
0.9984 , 350.9013
