TPCSs-2-600,
X,Y
0.1369 , 325.0465
0.1494 , 327.7198
0.1667 , 330.0353
0.5901 , 344.6208
0.9719 , 348.7342
0.9927 , 349.9356
0.9528 , 347.8809
0.9299 , 345.9496
0.9071 , 346.9152
0.8854 , 346.9152
0.8614 , 345.9496
0.8168 , 347.8809
0.7985 , 346.9152
0.8351 , 346.9152
0.7723 , 344.9839
0.7266 , 344.9839
0.6809 , 345.9496
0.6352 , 345.9496
0.5449 , 344.9839
0.4992 , 344.9839
0.4547 , 344.0182
0.4101 , 343.0526
0.3644 , 341.1212
0.3187 , 341.1212
0.2730 , 338.2242
0.2548 , 338.2242
0.2353 , 338.2242
0.2182 , 336.2929
0.2011 , 335.3273
0.1828 , 332.4303
0.1200 , 319.8766
0.1017 , 307.3230
0.0937 , 273.5247
0.1120 , 315.0483
0.0925 , 167.3015
0.0914 , 150.8852
0.0914 , 182.7521
0.0914 , 203.0311
0.0914 , 226.2071
0.0925 , 248.4174
0.0948 , 289.9410
