10M,
X,Y
0.9908 , 144.9744
0.9794 , 142.7966
0.9674 , 141.2119
0.9567 , 140.4187
0.9482 , 140.2192
0.9006 , 136.2541
0.8481 , 133.6725
0.7984 , 131.0915
0.7488 , 129.3016
0.7005 , 127.3142
0.6494 , 125.1284
0.5997 , 123.3386
0.5507 , 121.7466
0.5004 , 120.3521
0.4485 , 118.3640
0.3989 , 116.9697
0.3478 , 115.1795
0.2988 , 113.9831
0.2732 , 112.7914
0.2484 , 112.1931
0.2229 , 111.0014
0.1980 , 110.4031
0.1732 , 108.8159
0.1490 , 108.4156
0.1214 , 106.4322
0.1008 , 106.2304
0.0887 , 104.6457
0.0774 , 104.0501
0.0674 , 103.0592
0.0554 , 102.0679
0.0454 , 100.6815
0.0348 , 99.4926
0.0277 , 97.9090
0.0163 , 95.7311
