6M,
X,Y
0.9915 , 182.5537
0.9801 , 179.7825
0.9688 , 177.6046
0.9489 , 175.4250
0.8992 , 171.2617
0.8495 , 168.0873
0.8006 , 165.1109
0.7495 , 162.7273
0.6998 , 160.1463
0.6494 , 157.9607
0.5983 , 155.9728
0.5486 , 153.9851
0.4996 , 151.7998
0.4500 , 149.8121
0.3982 , 148.2196
0.3471 , 146.4294
0.2988 , 144.6398
0.2740 , 143.0526
0.2484 , 142.2564
0.2229 , 140.8669
0.1980 , 139.8730
0.1732 , 138.6814
0.1483 , 137.2920
0.1228 , 135.7047
0.0994 , 134.5133
0.0859 , 133.3239
0.0731 , 132.1347
0.0575 , 130.7471
0.0461 , 128.9648
0.0369 , 127.7763
0.0277 , 125.5988
0.0199 , 123.2239
0.0106 , 118.4752
