8M,
X,Y
0.9915 , 167.3243
0.9823 , 165.7402
0.9723 , 164.3537
0.9610 , 162.7692
0.9489 , 160.9867
0.8999 , 156.6258
0.8495 , 153.4513
0.7991 , 150.6723
0.7495 , 148.0913
0.7005 , 145.7082
0.6487 , 143.7201
0.6004 , 141.7327
0.5500 , 139.7449
0.4996 , 137.9548
0.4485 , 136.3624
0.3996 , 134.9683
0.3499 , 133.7717
0.3002 , 131.7841
0.2740 , 130.1966
0.2484 , 129.7960
0.2236 , 128.6043
0.1987 , 127.8083
0.1739 , 126.4189
0.1490 , 125.2273
0.1221 , 123.6397
0.1001 , 122.6464
0.0901 , 121.6555
0.0802 , 120.8624
0.0688 , 120.0690
0.0596 , 118.6827
0.0504 , 117.6919
0.0419 , 116.3058
0.0312 , 114.7214
0.0206 , 111.5547
