CF-1.5-400,
X,Y
0.1413 , 386.6328
0.1703 , 408.1783
0.1894 , 421.6640
0.2306 , 449.5176
0.2507 , 462.5466
0.2903 , 489.4079
0.3311 , 515.4832
0.3507 , 528.9860
0.3901 , 553.6925
0.4511 , 589.2904
0.4716 , 599.8099
0.5112 , 619.4891
0.5520 , 638.7865
0.5917 , 655.7249
0.6118 , 663.1509
0.6511 , 678.8092
0.6712 , 684.5788
0.7114 , 698.9733
0.7516 , 712.2109
0.7917 , 724.4183
0.8116 , 731.1742
0.8516 , 743.9165
0.8724 , 749.5011
0.9116 , 760.7143
0.9326 , 766.5179
0.9587 , 775.8929
0.9728 , 776.3393
0.9836 , 780.3571
0.9927 , 782.5893
0.1507 , 394.1964
0.1314 , 379.4643
0.1212 , 372.3214
0.1109 , 364.2857
0.1013 , 356.2500
0.0905 , 347.7679
0.0809 , 338.8393
0.0706 , 329.4643
0.0598 , 319.1964
0.0490 , 308.0357
0.0292 , 283.0357
0.0092 , 237.9464
