CF-0.5-400,
X,Y
0.2304 , 361.2822
0.3013 , 368.9305
0.3246 , 371.9899
0.3499 , 372.7547
0.3907 , 375.0492
0.4519 , 378.5550
0.4723 , 378.7845
0.4903 , 380.5311
0.5113 , 380.6161
0.5604 , 382.1662
0.5904 , 383.1440
0.6071 , 383.5905
0.6517 , 384.2273
0.7009 , 385.7570
0.7140 , 385.7570
0.7510 , 386.6498
0.7705 , 386.8402
0.7914 , 387.2866
0.8108 , 387.7331
0.8415 , 387.7331
0.8715 , 388.8163
0.9113 , 389.2627
0.9348 , 389.3477
0.9582 , 389.8996
0.9755 , 391.0714
0.9902 , 391.0714
0.1710 , 349.5536
0.1307 , 339.7321
0.1194 , 335.7143
0.1092 , 332.5893
0.0990 , 328.5714
0.0899 , 322.7679
0.0802 , 317.8571
0.0706 , 312.9464
0.0598 , 307.1429
0.0507 , 299.5536
0.0098 , 248.2143
