CAC1800,
X,Y
0.0101 , 0.9858
0.0423 , 1.3497
0.0792 , 1.4550
0.1130 , 1.5217
0.1478 , 1.6059
0.1795 , 1.6562
0.4075 , 1.6963
0.4235 , 1.6904
0.5711 , 1.7018
0.7579 , 1.7712
0.7769 , 1.7735
0.8204 , 1.8000
0.8688 , 1.8029
0.9315 , 1.8433
0.1656 , 1.6451
0.1315 , 1.5733
0.0932 , 1.5015
0.0580 , 1.4660
0.0290 , 1.2673
0.0166 , 1.1950
0.2029 , 1.6807
0.2215 , 1.6803
0.2474 , 1.7161
0.2660 , 1.6976
0.3085 , 1.6969
0.3251 , 1.7147
0.9503 , 1.8482
0.9907 , 1.9019
0.9110 , 1.8308
0.8810 , 1.8314
0.3675 , 1.7320
0.3489 , 1.7143
0.5311 , 1.7291
0.5124 , 1.7475
0.4793 , 1.7300
0.4596 , 1.7122
0.6128 , 1.7457
0.6315 , 1.7454
0.6584 , 1.7268
0.6781 , 1.7445
0.7226 , 1.7618
0.7060 , 1.7621
