CAC3800,
X,Y
0.0086 , 5.6101
0.0041 , 4.5717
0.0041 , 3.8056
0.0041 , 2.3306
0.0041 , 1.5772
0.0059 , 0.8100
0.0323 , 6.2937
0.0607 , 6.5495
0.0909 , 6.6806
0.1244 , 6.7806
0.1514 , 6.8318
0.1800 , 6.8692
0.2320 , 6.9387
0.3466 , 7.0360
0.3757 , 7.0564
0.4302 , 7.0911
0.5774 , 7.1749
0.6064 , 7.1767
0.6355 , 7.2146
0.6646 , 7.2280
0.6936 , 7.2453
0.7200 , 7.2558
0.7672 , 7.2709
0.8226 , 7.3029
0.8797 , 7.3257
0.9180 , 7.3525
0.9948 , 7.4982
0.9669 , 7.3538
0.8665 , 7.3013
0.8095 , 7.2842
0.4524 , 7.1095
0.4731 , 7.1092
0.5611 , 7.1619
0.2495 , 6.9683
0.2681 , 6.9680
0.3012 , 6.9855
0.3178 , 7.0214
0.3986 , 7.0743
0.4203 , 7.0739
0.5052 , 7.1267
0.5248 , 7.1444
0.5983 , 7.1793
0.6180 , 7.1790
0.6563 , 7.2145
0.6781 , 7.2322
0.1087 , 6.7354
0.1398 , 6.8073
0.1687 , 6.8430
0.0673 , 6.5732
0.0445 , 6.4287
0.0155 , 5.9764
