CAC6800,
X,Y
0.9917 , 12.6780
0.9700 , 12.4883
0.9105 , 12.3716
0.8654 , 12.3453
0.8266 , 12.3278
0.7547 , 12.2929
0.7076 , 12.2394
0.6646 , 12.2221
0.6216 , 12.2048
0.5569 , 12.1607
0.5078 , 12.1072
0.4648 , 12.0899
0.4213 , 12.0545
0.3577 , 11.9741
0.3018 , 11.9117
0.2516 , 11.8493
0.2039 , 11.7777
0.1817 , 11.7237
0.1579 , 11.6698
0.1263 , 11.5799
0.1014 , 11.4445
0.0740 , 11.2639
0.0481 , 10.9927
0.0393 , 10.8660
0.0295 , 10.6579
0.0192 , 10.3865
0.0083 , 9.8524
0.0072 , 9.6622
0.0052 , 9.3815
0.0031 , 9.1008
0.0016 , 8.9107
0.0016 , 8.7024
0.0016 , 8.3493
0.0021 , 7.9689
0.0016 , 7.5524
0.0010 , 7.1358
0.0021 , 6.7192
0.0016 , 6.2846
0.0021 , 5.0168
0.0005 , 4.1475
