CAC6800,
X,Y
0.0074 , 9.5368
0.0041 , 8.8022
0.0041 , 8.3068
0.0032 , 7.7630
0.0032 , 7.2607
0.0032 , 6.7636
0.0027 , 6.2359
0.0032 , 4.1357
0.0014 , 3.6181
0.0032 , 2.5446
0.0030 , 1.3191
0.0032 , 0.4233
0.0041 , 4.9843
0.0050 , 1.9264
0.0248 , 10.4989
0.0485 , 10.9849
0.0781 , 11.2968
0.1092 , 11.4737
0.1373 , 11.5851
0.1679 , 11.6708
0.1987 , 11.7523
0.3575 , 11.9164
0.9698 , 12.5000
0.9916 , 12.6857
0.9203 , 12.3895
0.9617 , 12.4612
0.8737 , 12.3542
0.8551 , 12.3364
0.8364 , 12.3005
0.7640 , 12.2656
0.7443 , 12.2478
0.8178 , 12.2827
0.7174 , 12.2302
0.6988 , 12.2124
0.6729 , 12.2129
0.6542 , 12.1951
0.6139 , 12.1596
0.6315 , 12.1955
0.5663 , 12.1243
0.5497 , 12.1065
0.5166 , 12.1071
0.4969 , 12.0893
0.4741 , 12.0535
0.4555 , 12.0357
0.4296 , 12.0181
0.4120 , 12.0003
0.3106 , 11.9297
0.2919 , 11.8938
0.2609 , 11.8581
0.2443 , 11.8222
0.2143 , 11.7503
0.1832 , 11.7147
0.1480 , 11.6247
0.0342 , 10.7756
0.0155 , 10.2145
0.0104 , 9.9791
