CAC1900,
X,Y
0.0359 , 4.0205
0.0586 , 4.2210
0.0868 , 4.3965
0.1107 , 4.4779
0.1354 , 4.5433
0.1616 , 4.5966
0.1878 , 4.6331
0.2112 , 4.6589
0.2488 , 4.6958
0.2688 , 4.7205
0.3013 , 4.7060
0.3157 , 4.7369
0.3519 , 4.7329
0.3741 , 4.7696
0.4081 , 4.7630
0.4296 , 4.7658
0.4614 , 4.8002
0.4798 , 4.8306
0.5137 , 4.8097
0.5321 , 4.8255
0.5628 , 4.8289
0.5842 , 4.8359
0.6194 , 4.8241
0.6484 , 4.8779
0.6727 , 4.8572
0.7020 , 4.8610
0.7242 , 4.8901
0.7569 , 4.8878
0.7763 , 4.9074
0.8070 , 4.8856
0.8290 , 4.8920
0.8613 , 4.9193
0.8830 , 4.9190
0.9117 , 4.9446
0.9371 , 4.9010
0.9632 , 4.9480
0.9883 , 5.1293
0.0259 , 3.8753
0.0145 , 3.6582
