GC-C01,
X,Y
0.9953 , 79.6774
0.9839 , 57.7536
0.9571 , 54.7389
0.9257 , 50.7236
0.9005 , 51.6945
0.8768 , 52.6669
0.8508 , 47.6609
0.8194 , 46.6336
0.8003 , 46.6146
0.7505 , 44.5730
0.7008 , 42.5314
0.6503 , 44.4732
0.5991 , 41.4341
0.5501 , 41.3853
0.4996 , 41.3350
0.4499 , 40.2895
0.3986 , 38.2464
0.3496 , 37.2016
0.2999 , 37.1521
0.2479 , 36.1042
0.1989 , 34.0634
0.1790 , 34.0436
0.1584 , 34.0230
0.1385 , 34.0032
0.1186 , 32.9874
0.0994 , 31.9723
0.0795 , 31.9525
0.0665 , 30.9435
0.0313 , 28.9164
0.0099 , 26.9031
