GC-C04,
X,Y
0.9918 , 677.2835
0.9781 , 673.2857
0.9490 , 667.2806
0.9237 , 662.2754
0.8985 , 661.2542
0.8740 , 660.2338
0.8488 , 659.2127
0.8189 , 657.1909
0.7983 , 657.1704
0.7493 , 654.1335
0.6988 , 653.0872
0.6491 , 649.0536
0.5986 , 647.0113
0.5489 , 645.9658
0.4984 , 642.9274
0.4486 , 640.8859
0.3974 , 636.8507
0.3538 , 632.8232
0.3025 , 627.7921
0.2490 , 617.7786
0.2008 , 602.7904
0.1809 , 592.8104
0.1602 , 584.8217
0.1380 , 572.8474
0.1174 , 556.8906
0.0975 , 541.9306
0.0753 , 520.9921
0.0608 , 506.0374
0.0280 , 458.1959
0.0081 , 406.3833
