GC-C03,
X,Y
0.9901 , 1001.9829
0.9748 , 990.0155
0.9480 , 980.0286
0.9235 , 974.0282
0.8990 , 968.0277
0.8746 , 964.0192
0.8485 , 959.0133
0.8187 , 953.0074
0.7988 , 949.0036
0.7483 , 942.9772
0.6986 , 935.9555
0.6481 , 928.9331
0.5991 , 921.9123
0.5487 , 914.8899
0.4982 , 905.8754
0.4484 , 893.8737
0.3980 , 876.8912
0.3536 , 857.9227
0.3031 , 828.9879
0.2465 , 792.0790
0.1991 , 753.1871
0.1792 , 734.2430
0.1601 , 714.3037
0.1387 , 697.3501
0.1173 , 673.4244
0.0982 , 650.4970
0.0760 , 619.5984
0.0577 , 591.6917
0.0279 , 533.8931
0.0081 , 471.1243
