GC-C02,
X,Y
0.9919 , 562.7417
0.9774 , 553.7631
0.9491 , 548.7548
0.9238 , 544.7456
0.9001 , 542.7300
0.8756 , 540.7135
0.8504 , 539.6924
0.8190 , 536.6731
0.7999 , 535.6580
0.7494 , 533.6157
0.6997 , 531.5741
0.6492 , 529.5318
0.5979 , 525.4967
0.5490 , 522.4599
0.4985 , 519.4215
0.4480 , 515.3872
0.3982 , 508.3655
0.3531 , 501.3485
0.3018 , 487.3532
0.2475 , 472.3589
0.2001 , 453.3873
0.1795 , 443.4066
0.1596 , 433.4266
0.1374 , 422.4484
0.1183 , 410.4771
0.0976 , 396.5123
0.0762 , 378.5627
0.0563 , 360.6146
0.0281 , 326.7219
0.0090 , 290.8463
