AC-4-1,
X,Y
0.9854 , 151.9009
0.9725 , 151.3198
0.9387 , 148.9848
0.8768 , 147.8438
0.8621 , 148.4411
0.8014 , 147.2994
0.7845 , 146.1319
0.7307 , 146.1636
0.7190 , 145.5817
0.6682 , 143.8455
0.6472 , 144.4466
0.6250 , 142.6934
0.5759 , 142.7223
0.5111 , 141.5830
0.4673 , 138.6652
0.4252 , 138.6899
0.3943 , 138.1194
0.3581 , 138.1408
0.3201 , 136.9856
0.3014 , 136.9967
0.2739 , 135.2466
0.2512 , 134.6713
0.2278 , 135.2738
0.2068 , 134.6974
0.1822 , 134.1232
0.1548 , 132.9619
0.1326 , 132.9749
0.1086 , 131.8116
0.0900 , 131.2338
0.0678 , 129.4807
0.0514 , 125.9580
0.0380 , 124.7884
0.0275 , 121.2622
0.0199 , 118.9118
0.0099 , 111.8529
0.0058 , 100.6694
