IR3,
X,Y
0.9951 , 606.0432
0.9025 , 591.0791
0.8016 , 565.1799
0.7014 , 528.9209
0.6016 , 489.7842
0.5008 , 448.3453
0.3989 , 409.7842
0.3008 , 371.2230
0.2016 , 329.7842
0.1003 , 282.5899
0.0915 , 279.1367
0.0811 , 272.8058
0.0712 , 266.4748
0.0608 , 258.9928
0.0499 , 249.7842
0.0405 , 241.1511
0.0301 , 230.7914
0.0208 , 217.5540
0.0099 , 195.6835
0.0071 , 185.3237
0.0049 , 174.3885
0.0022 , 160.0000
0.0011 , 150.2158
0.0005 , 135.2518
-0.0005 , 122.0144
-0.0005 , 111.6547
-0.0005 , 103.0216
-0.0005 , 94.3885
-0.0005 , 82.8777
-0.0011 , 73.0935
-0.0011 , 62.7338
