NPC-900,
X,Y
0.0013 , 202.8618
-0.0011 , 165.4862
-0.0017 , 118.7771
0.0002 , 92.6496
-0.0002 , 62.9421
0.0004 , 8.7507
0.0024 , 232.5600
0.0084 , 251.9135
-0.0008 , -9.8858
0.0007 , 47.2624
0.0209 , 276.6691
0.0426 , 298.6958
0.0725 , 321.3805
0.0973 , 334.8604
0.1243 , 343.6211
0.1514 , 353.3033
0.1784 , 359.2100
0.2048 , 363.5287
0.2327 , 369.1604
0.2598 , 371.5688
0.2865 , 376.2992
0.3136 , 376.4397
0.3406 , 378.4861
0.3677 , 380.2183
0.3953 , 380.8320
0.4217 , 383.0594
0.4498 , 382.8270
0.4758 , 385.1523
0.5035 , 384.0725
0.5313 , 385.5138
0.5604 , 388.1550
0.5874 , 390.4028
0.6144 , 390.2640
0.6415 , 391.3529
0.6686 , 388.7871
0.6956 , 393.2777
0.7226 , 393.0343
0.7509 , 391.8158
0.7771 , 392.5834
0.8037 , 396.9494
0.8299 , 396.2801
0.8578 , 395.5913
0.8849 , 397.6118
0.9136 , 399.3020
0.9407 , 401.9377
0.9697 , 410.2273
0.9862 , 420.3349
1.0006 , 427.9808
-0.0004 , 153.7291
-0.0003 , 134.7032
0.0008 , 106.5449
0.0019 , 78.3866
