NPC-700,
X,Y
-0.0011 , 33.0508
0.0082 , 66.8526
0.0319 , 73.0667
0.0586 , 75.3153
0.0857 , 77.0154
0.1114 , 78.4659
0.1394 , 80.0093
0.1650 , 79.3447
0.1942 , 80.3645
0.2207 , 83.3452
0.2485 , 82.4577
0.2763 , 80.0293
0.3052 , 82.0096
0.3294 , 84.4211
0.3557 , 83.9362
0.3830 , 84.0924
0.4102 , 84.6177
0.4374 , 85.0187
0.4647 , 84.4871
0.4916 , 84.7728
0.5189 , 85.1688
0.5464 , 86.1455
0.5737 , 85.4783
0.6010 , 84.7506
0.6303 , 85.9549
0.6564 , 85.0778
0.6847 , 86.1770
0.7101 , 85.5912
0.7382 , 85.9605
0.7666 , 86.1879
0.7949 , 86.1231
0.8218 , 86.9047
0.8504 , 87.1018
0.8776 , 87.3500
0.9032 , 88.4124
0.9295 , 91.4882
0.9548 , 95.0744
0.9834 , 109.6136
0.9979 , 117.0263
0.9704 , 101.2177
