NPC-800,
X,Y
0.0157 , 137.0806
0.0436 , 146.1968
0.0712 , 147.9438
0.0977 , 150.3142
0.1247 , 150.2740
0.1518 , 153.0366
0.1788 , 154.2099
0.2059 , 154.0653
0.2329 , 154.4773
0.2600 , 154.9454
0.2857 , 157.6590
0.3157 , 156.4828
0.3428 , 156.1971
0.3698 , 156.5844
0.3969 , 156.5893
0.4239 , 157.1003
0.4510 , 157.1167
0.4780 , 158.4824
0.5051 , 159.2287
0.5321 , 157.8089
0.5592 , 158.8909
0.5862 , 158.9403
0.6132 , 159.9332
0.6403 , 158.9908
0.6673 , 159.3924
0.6944 , 159.4512
0.7214 , 159.7551
0.7485 , 159.4510
0.7755 , 159.8419
0.8026 , 160.4382
0.8296 , 160.9558
0.8567 , 161.5711
0.8837 , 163.0097
0.9107 , 163.6494
0.9378 , 164.8582
0.9660 , 169.2777
0.9888 , 177.8579
