NPC-700,
X,Y
0.9878 , 117.1994
0.9748 , 104.2618
0.9488 , 95.1294
0.9271 , 92.0852
0.9021 , 89.8021
0.8783 , 89.8021
0.8533 , 89.0411
0.8273 , 88.2801
0.8045 , 88.2801
0.7785 , 87.5190
0.7525 , 86.7580
0.7275 , 87.5190
0.7026 , 87.5190
0.6765 , 85.9970
0.6516 , 85.9970
0.6277 , 85.9970
0.6028 , 85.2359
0.5768 , 85.2359
0.5507 , 85.9970
0.5236 , 85.2359
0.5008 , 85.2359
0.4759 , 84.4749
0.4520 , 83.7139
0.4249 , 83.7139
0.4000 , 83.7139
0.3761 , 82.9528
0.3490 , 83.7139
0.3262 , 82.9528
0.3121 , 82.9528
0.2612 , 80.6697
0.2340 , 81.4307
0.2102 , 81.4307
0.1842 , 79.9087
0.1560 , 79.9087
0.1299 , 77.6256
0.1028 , 76.8645
0.0768 , 76.8645
0.0518 , 75.3425
0.0399 , 73.8204
0.0291 , 73.0594
0.0193 , 71.5373
0.0106 , 69.2542
0.0020 , 63.9269
-0.0001 , 31.9635
